Date, Open, High, Low, Close, Volume
12/09/11, 12450, 12450, 12450, 12450, 4
12/08/11, 12490, 12490, 12490, 12490, 9
12/07/11, 12155, 12490, 12155, 12490, 93
12/06/11, 12385, 12475, 12385, 12400, 393
12/05/11, 12345, 12390, 12345, 12390, 120
12/02/11, 12055, 12155, 12055, 12150, 31
12/01/11, 12275, 12275, 12050, 12050, 196
11/30/11, 12300, 12400, 12250, 12345, 97
11/29/11, 12300, 12300, 12100, 12100, 111
11/28/11, 12100, 12290, 12100, 12290, 50
11/25/11, 12100, 12110, 12100, 12100, 90
11/24/11, 12210, 12250, 12010, 12150, 135
11/23/11, 12250, 12250, 12210, 12210, 54
11/21/11, 12300, 12300, 12300, 12300, 129
11/17/11, 12215, 12305, 12215, 12300, 86
11/16/11, 12400, 12400, 12400, 12400, 103
11/15/11, 12595, 12600, 12595, 12600, 52
11/14/11, 12385, 12680, 12205, 12205, 442
11/11/11, 12390, 12395, 12390, 12395, 27
11/10/11, 12295, 12300, 12000, 12100, 309
11/09/11, 12650, 12650, 12610, 12610, 15
11/08/11, 12795, 12795, 12700, 12700, 137
11/07/11, 12800, 12800, 12200, 12750, 99
11/04/11, 12205, 12750, 12105, 12750, 212
11/03/11, 12055, 12540, 12055, 12540, 30
11/02/11, 12000, 12580, 12000, 12500, 267
10/28/11, 12650, 12900, 12650, 12650, 212
10/27/11, 12250, 12505, 12250, 12500, 804
10/25/11, 12300, 12380, 12230, 12250, 79
10/24/11, 12225, 12225, 12225, 12225, 28
10/21/11, 12375, 12390, 12375, 12390, 19
10/20/11, 12205, 12250, 12200, 12250, 166
10/19/11, 12400, 12400, 12240, 12250, 39
10/18/11, 12350, 12350, 12210, 12340, 24
10/17/11, 12205, 12205, 12200, 12200, 12
10/14/11, 12395, 12675, 12395, 12500, 52
10/13/11, 12400, 12400, 12400, 12400, 12
10/12/11, 12260, 12300, 12260, 12300, 135
10/11/11, 12150, 12250, 12025, 12240, 4716
